id {uuid},name  {properties.title},type {properties.type},diocese {properties.diocese},url {links[0].identifier},{links[0].type},{properties.when},founded by {properties.founder},{latitude},{longitude},"{types=[{""identifier"":""http://vocab.getty.edu/aat/300443474"",""label"":""monasteries (institutions)"",""sourceLabels"":[""Monastery""]}]}","{$.@id=""https://w3id.org/locolligo/early-monasteries""}","{$.indexing=""indexing_early-monasteries.json""}"
225,Ardchattan Priory,,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_Scotland,seeAlso,>=600,,56.463027,-5.293871,,,
226,"Bledach Monastery,Tiree",,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_Scotland,seeAlso,>=577,,,,,,
227,"Cella Diuni, Loch Awe",,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_Scotland,seeAlso,>=600,,56.17885,-5.402443,,,
228,Garvellach Islands Monastery,,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_Scotland,seeAlso,>=600,,56.2225,-5.806111,,,
229,Iona Abbey,,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_Scotland,seeAlso,>=565,,56.333967,-6.393249,,,
230,Hinba,,,https://en.wikipedia.org/wiki/Hinba,seeAlso,>=600,,56.083333,-5.75,,,
231,Lismore Monastery,,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_Scotland,seeAlso,>=592,,56.53466,-5.480285,,,
232,"Mag Luinge, Tiree",,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_Scotland,seeAlso,,,,,,,
233,Tiree Monastery,,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_Scotland,seeAlso,>=565,,56.500206,-6.909365,,,
234,St Andrew's Cathedral Priory,,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_Scotland,seeAlso,>=747,,56.340033,-2.787523,,,
235,Govan Monastery,,,https://en.wikipedia.org/wiki/Govan_Old_Parish_Church,seeAlso,>=600,,55.8646,-4.3129,,,
236,Applecross Monastery,,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_Scotland,seeAlso,>=673,,57.445006,-5.812145,,,
237,Eigg Monastery,,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_Scotland,seeAlso,>=617,,56.887678,-6.13904,,,
238,North Rona Monastery,,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_Scotland,seeAlso,>=700,,,,,,
239,Brough of Birsay Monastery,,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_Scotland,seeAlso,>=600,,59.136571,-3.330182,,,
